issue_id,customer,flow,description,type,found_via,owner,status,reported_date,resolved_date
ISS-001,PwC,Generic,Extreme Slowness,Issue,Manual,,Open,2025-04-08,
ISS-002,PwC,Generic,Prefilling Issues – Request Forms,Issue,Manual,Harshal/Bharat,Partial Solved,2025-04-08,
ISS-003,,Generic,Handoff to MPR agent,Issue,Manual,Kuldeep,Pending,2025-04-08,
ISS-004,PwC,Generic,Incorrect Supplier prefilled,Issue,Manual,,Open,2025-04-08,
ISS-005,PwC,Generic,Chat bar enabled while tools running – duplicate tool calls,Issue,Manual,,Open,2025-04-08,
ISS-006,PwC,Generic,Policy Compliance Deviation – Fixed for particular scenario; overall flow coverage pending,Issue,Manual,,Partial Solved,2025-04-08,
ISS-007,PwC,Generic,Backend request forms/category IDs shown instead of Request number & Codes,Issue,Manual,,Open,2025-04-08,
ISS-008,PwC,Buy,PR not getting submitted due to eProc config issues,Issue,Manual,,Open,2025-04-08,
ISS-009,PwC,Invoice,Create Invoice API slowness – demo cancelled postponed to Monday,Issue,Manual,,Open,2025-04-13,
ISS-010,PwC,Generic,MPR continuation issue – POC in progress,Issue,Manual,Kuldeep,In Progress,2025-03-31,
ISS-011,HnK,Buy,Flow to be blocked for specific roles,Enhancement,-,Deepak Y,Open,2025-04-08,
ISS-012,,Generic,Numeric comparison tool,,,,In progress,2025-04-08,
ISS-013,,Track,Copy PR does not work,,,,In progress,2025-04-08,
ISS-014,,Generic,Rephrasing of error messages to business friendly language,,,,In progress,2025-04-08,
ISS-015,,Buy,Placeholder for quote upload does not work again,,,,In progress,2025-04-08,
ISS-016,HnK,Generic,Slowness persisting – programmatic tools still 35-50 secs,Issue,Manual,,Open,2025-04-13,
ISS-017,HnK,Generic,COA logic changes to be implemented and enhanced,Enhancement,Manual,,Open,2025-04-13,
ISS-018,NTUC,Generic,New Requirement – 2-Factor Authentication for PDA logins,Enhancement,Manual,,Open,2025-04-08,
ISS-019,NTUC,Generic,New Requirement – Recall Functionality to be implemented,Enhancement,Manual,,Open,2025-04-08,
ISS-020,NTUC,Generic,UI Issue – L3 page doesn't resize properly after zoom,Issue,Manual,,Open,2025-03-23,
ISS-021,Generic,All,Recurring LiteLLM issues,Issue,Automation,,Open,2025-04-13,
ISS-022,Generic,Generic,First response without tool call still 30-40 secs,Issue,Manual,,Open,2025-04-13,
ISS-023,Generic,Generic,Delayed responses during US hours,Issue,Manual,,Open,2025-04-13,
ISS-024,Generic,Receipt,Create Receipt and Return Note taking more than 60 secs consistently,Issue,Manual,Prasanna/Kaushik,In Progress,2025-04-13,
